country,fiscal_year,robust_z,severity,change_pct,rule,currently_alerting,explanation,label,note
Kenya,2026,3.9,medium,71.0,beyond_limits,True,"Kenya FY2026: year-over-year change of +71% is above the expected range -18% to +55% (learned from FY2010-2019, where a typical year was +13%); that is 3.9 robust sigmas from the typical year (limits sit at 3), so 0.9 beyond the +55% limit.",,
Afghanistan,2024,3.8,medium,1327.0,beyond_limits,True,"Afghanistan FY2024: year-over-year change of +1327% is above the expected range -89% to +707% (learned from FY2010-2019, where a typical year was -6%); that is 3.8 robust sigmas from the typical year (limits sit at 3), so 0.8 beyond the +707% limit.",,
Kosovo,2022,-3.8,medium,-67.0,beyond_limits,True,"Kosovo FY2022: year-over-year change of -67% is below the expected range -60% to +92% (learned from FY2010-2019, where a typical year was -12%); that is 3.8 robust sigmas from the typical year (limits sit at 3), so 0.8 beyond the -60% limit.",,
Kenya,2021,-3.7,medium,-24.0,beyond_limits,True,"Kenya FY2021: year-over-year change of -24% is below the expected range -18% to +55% (learned from FY2010-2019, where a typical year was +13%); that is 3.7 robust sigmas from the typical year (limits sit at 3), so 0.7 beyond the -18% limit.",,
Rwanda,2026,-3.6,medium,-39.0,beyond_limits,True,"Rwanda FY2026: year-over-year change of -39% is below the expected range -32% to +91% (learned from FY2010-2019, where a typical year was +14%); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the -32% limit.",,
Dominica,2026,-3.6,medium,-84.0,beyond_limits,True,"Dominica FY2026: year-over-year change of -84% is below the expected range -78% to +461% (learned from FY2010-2019, where a typical year was +11%); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the -78% limit.",,
Niger,2025,3.4,medium,303.0,beyond_limits,True,"Niger FY2025: year-over-year change of +303% is above the expected range -68% to +240% (learned from FY2010-2019, where a typical year was +5%); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the +240% limit.",,
Mali,2020,3.4,medium,82.0,beyond_limits,True,"Mali FY2020: year-over-year change of +82% is above the expected range -49% to +67% (learned from FY2010-2019, where a typical year was -8%); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the +67% limit.",,
Kiribati,2020,-3.4,medium,-87.0,beyond_limits,True,"Kiribati FY2020: year-over-year change of -87% is below the expected range -84% to +936% (learned from FY2010-2019, where a typical year was +31%); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the -84% limit.",,
Sri Lanka,2026,-3.4,medium,-59.0,beyond_limits,True,"Sri Lanka FY2026: year-over-year change of -59% is below the expected range -55% to +99% (learned from FY2010-2019, where a typical year was -5%); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the -55% limit.",,
Maldives,2020,3.3,medium,679.0,beyond_limits,True,"Maldives FY2020: year-over-year change of +679% is above the expected range -90% to +514% (learned from FY2010-2019, where a typical year was -22%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +514% limit.",,
Western Africa,2021,3.3,medium,668.0,beyond_limits,True,"Western Africa FY2021: year-over-year change of +668% is above the expected range -84% to +523% (learned from FY2010-2019, where a typical year was +0%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +523% limit.",,
Mauritania,2020,3.3,medium,148.0,beyond_limits,True,"Mauritania FY2020: year-over-year change of +148% is above the expected range -66% to +123% (learned from FY2010-2019, where a typical year was -14%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +123% limit.",,
Cameroon,2026,3.3,medium,30.0,beyond_limits,True,"Cameroon FY2026: year-over-year change of +30% is above the expected range -27% to +27% (learned from FY2010-2019, where a typical year was -4%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +27% limit.",,
St. Vincent and the Grenadines,2020,3.3,medium,1594.0,beyond_limits,True,"St. Vincent and the Grenadines FY2020: year-over-year change of +1594% is above the expected range -91% to +1262% (learned from FY2010-2019, where a typical year was +13%); that is 3.3 robust sigmas from the typical year (limits sit at 3), so 0.3 beyond the +1262% limit.",,
Nepal,2026,-3.2,medium,-59.0,beyond_limits,True,"Nepal FY2026: year-over-year change of -59% is below the expected range -56% to +197% (learned from FY2010-2019, where a typical year was +14%); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the -56% limit.",,
Chad,2020,3.2,medium,40.0,beyond_limits,True,"Chad FY2020: year-over-year change of +40% is above the expected range -6% to +38% (learned from FY2010-2019, where a typical year was +14%); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the +38% limit.",,
Cote d'Ivoire,2022,-3.2,medium,-42.0,beyond_limits,True,"Cote d'Ivoire FY2022: year-over-year change of -42% is below the expected range -40% to +156% (learned from FY2010-2019, where a typical year was +24%); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the -40% limit.",,
Papua New Guinea,2023,-3.1,medium,-71.0,beyond_limits,True,"Papua New Guinea FY2023: year-over-year change of -71% is below the expected range -69% to +303% (learned from FY2010-2019, where a typical year was +11%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the -69% limit.",,
Kyrgyz Republic,2023,3.1,medium,89.0,beyond_limits,True,"Kyrgyz Republic FY2023: year-over-year change of +89% is above the expected range -44% to +84% (learned from FY2010-2019, where a typical year was +1%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the +84% limit.",,
India,2026,-3.1,medium,-52.0,beyond_limits,True,"India FY2026: year-over-year change of -52% is below the expected range -52% to +79% (learned from FY2010-2019, where a typical year was -7%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the -52% limit.",,
Cote d'Ivoire,2026,-3.1,medium,-40.0,beyond_limits,True,"Cote d'Ivoire FY2026: year-over-year change of -40% is below the expected range -40% to +156% (learned from FY2010-2019, where a typical year was +24%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the -40% limit.",,
Azerbaijan,2020,-0.1,medium,0.0,sustained_shift,True,"Azerbaijan FY2020: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical year-over-year change of +8% - the level has shifted rather than spiked.",,
Azerbaijan,2021,-0.1,medium,0.0,sustained_shift,True,"Azerbaijan FY2021: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical year-over-year change of +8% - the level has shifted rather than spiked.",,
Azerbaijan,2022,-0.1,medium,0.0,sustained_shift,True,"Azerbaijan FY2022: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical year-over-year change of +8% - the level has shifted rather than spiked.",,
Azerbaijan,2023,-0.1,medium,0.0,sustained_shift,True,"Azerbaijan FY2023: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical year-over-year change of +8% - the level has shifted rather than spiked.",,
Azerbaijan,2024,-0.1,medium,0.0,sustained_shift,True,"Azerbaijan FY2024: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical year-over-year change of +8% - the level has shifted rather than spiked.",,
Azerbaijan,2025,-0.1,medium,0.0,sustained_shift,True,"Azerbaijan FY2025: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical year-over-year change of +8% - the level has shifted rather than spiked.",,
Azerbaijan,2026,-0.1,medium,0.0,sustained_shift,True,"Azerbaijan FY2026: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical year-over-year change of +8% - the level has shifted rather than spiked.",,
