chart,country,fiscal_year,value,center,lcl,ucl,sigma,robust_z,n_baseline,rule,severity,explanation,abs_z,incident_id
A_level,Burkina Faso,2026,557742048.7,279719640.15,60972648.32390982,498466631.97609013,72915663.94203006,3.8129311799318657,10,beyond_limits,medium,"Burkina Faso FY2026: disbursement of $557,742,049 is above the expected range $60,972,648 to $498,466,632 (learned from FY2010-2019, where a typical year was $279,719,640); that is 3.8 robust sigmas from the typical year (limits sit at 3), so 0.8 beyond the $498,466,632 limit.",3.8129311799318657,
A_level,Kosovo,2024,26346325.42,10497203.649999999,0.0,23096755.957572993,4199850.769190998,3.7737345065365173,10,beyond_limits,medium,"Kosovo FY2024: disbursement of $26,346,325 is above the expected range $0 to $23,096,756 (learned from FY2010-2019, where a typical year was $10,497,204); that is 3.8 robust sigmas from the typical year (limits sit at 3), so 0.8 beyond the $23,096,756 limit.",3.7737345065365173,
A_level,Haiti,2024,169751619.7,76046764.6,266245.96151797473,151827283.238482,25260172.879494008,3.7095888277181506,10,beyond_limits,medium,"Haiti FY2024: disbursement of $169,751,620 is above the expected range $266,246 to $151,827,283 (learned from FY2010-2019, where a typical year was $76,046,765); that is 3.7 robust sigmas from the typical year (limits sit at 3), so 0.7 beyond the $151,827,283 limit.",3.7095888277181506,
A_level,Ethiopia,2023,1873709548.0,906647300.05,124527318.51109004,1688767281.5889099,260706660.51296997,3.7093883449206677,10,beyond_limits,medium,"Ethiopia FY2023: disbursement of $1,873,709,548 is above the expected range $124,527,319 to $1,688,767,282 (learned from FY2010-2019, where a typical year was $906,647,300); that is 3.7 robust sigmas from the typical year (limits sit at 3), so 0.7 beyond the $1,688,767,282 limit.",3.7093883449206677,
A_level,Djibouti,2022,33519788.36,8389680.75,0.0,28753650.503505,6787989.917834999,3.7021427424298743,10,beyond_limits,medium,"Djibouti FY2022: disbursement of $33,519,788 is above the expected range $0 to $28,753,651 (learned from FY2010-2019, where a typical year was $8,389,681); that is 3.7 robust sigmas from the typical year (limits sit at 3), so 0.7 beyond the $28,753,651 limit.",3.7021427424298743,
A_level,Uganda,2024,499845671.7,246890754.25,39129097.87276,454652410.62724,69253885.45908,3.652573653783849,10,beyond_limits,medium,"Uganda FY2024: disbursement of $499,845,672 is above the expected range $39,129,098 to $454,652,411 (learned from FY2010-2019, where a typical year was $246,890,754); that is 3.7 robust sigmas from the typical year (limits sit at 3), so 0.7 beyond the $454,652,411 limit.",3.652573653783849,
A_level,Mauritania,2022,126548329.4,38456341.260000005,0.0,111107388.129828,24217015.623276,3.6376071069356315,10,beyond_limits,medium,"Mauritania FY2022: disbursement of $126,548,329 is above the expected range $0 to $111,107,388 (learned from FY2010-2019, where a typical year was $38,456,341); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the $111,107,388 limit.",3.6376071069356315,
A_level,Caribbean,2020,1750102.07,429999.995,0.0,1523356.723226,364452.242742,3.622153797348192,10,beyond_limits,medium,"Caribbean FY2020: disbursement of $1,750,102 is above the expected range $0 to $1,523,357 (learned from FY2010-2019, where a typical year was $430,000); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the $1,523,357 limit.",3.622153797348192,
A_level,Mauritania,2023,125282884.3,38456341.260000005,0.0,111107388.129828,24217015.623276,3.5853527284570657,10,beyond_limits,medium,"Mauritania FY2023: disbursement of $125,282,884 is above the expected range $0 to $111,107,388 (learned from FY2010-2019, where a typical year was $38,456,341); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the $111,107,388 limit.",3.5853527284570657,
A_level,Caribbean,2025,1730274.21,429999.995,0.0,1523356.723226,364452.242742,3.5677492480694633,10,beyond_limits,medium,"Caribbean FY2025: disbursement of $1,730,274 is above the expected range $0 to $1,523,357 (learned from FY2010-2019, where a typical year was $430,000); that is 3.6 robust sigmas from the typical year (limits sit at 3), so 0.6 beyond the $1,523,357 limit.",3.5677492480694633,
A_level,Senegal,2025,269099195.8,161472811.7,70138867.26197009,252806756.13802987,30444648.146009967,3.5351495469362284,10,beyond_limits,medium,"Senegal FY2025: disbursement of $269,099,196 is above the expected range $70,138,867 to $252,806,756 (learned from FY2010-2019, where a typical year was $161,472,812); that is 3.5 robust sigmas from the typical year (limits sit at 3), so 0.5 beyond the $252,806,756 limit.",3.5351495469362284,
A_level,Tajikistan,2020,75332213.29,31734314.225,0.0,68813365.01052502,12359683.595175002,3.5274284110330982,10,beyond_limits,medium,"Tajikistan FY2020: disbursement of $75,332,213 is above the expected range $0 to $68,813,365 (learned from FY2010-2019, where a typical year was $31,734,314); that is 3.5 robust sigmas from the typical year (limits sit at 3), so 0.5 beyond the $68,813,365 limit.",3.5274284110330982,
A_level,Nigeria,2025,1437381873.0,819493219.3499999,289524142.56473947,1349462296.1352603,176656358.92842016,3.4976870201449355,10,beyond_limits,medium,"Nigeria FY2025: disbursement of $1,437,381,873 is above the expected range $289,524,143 to $1,349,462,296 (learned from FY2010-2019, where a typical year was $819,493,219); that is 3.5 robust sigmas from the typical year (limits sit at 3), so 0.5 beyond the $1,349,462,296 limit.",3.4976870201449355,
A_level,"Yemen, Republic of",2023,495694817.7,144776561.0,0.0,446381646.669167,100535028.55638899,3.4905073558831665,10,beyond_limits,medium,"Yemen, Republic of FY2023: disbursement of $495,694,818 is above the expected range $0 to $446,381,647 (learned from FY2010-2019, where a typical year was $144,776,561); that is 3.5 robust sigmas from the typical year (limits sit at 3), so 0.5 beyond the $446,381,647 limit.",3.4905073558831665,
A_level,Sao Tome and Principe,2023,21075456.43,4348857.324999999,0.0,18776050.060080998,4809064.245026999,3.478140081471524,10,beyond_limits,medium,"Sao Tome and Principe FY2023: disbursement of $21,075,456 is above the expected range $0 to $18,776,050 (learned from FY2010-2019, where a typical year was $4,348,857); that is 3.5 robust sigmas from the typical year (limits sit at 3), so 0.5 beyond the $18,776,050 limit.",3.478140081471524,
A_level,"Yemen, Republic of",2022,492935189.3,144776561.0,0.0,446381646.669167,100535028.55638899,3.4630579341281202,10,beyond_limits,medium,"Yemen, Republic of FY2022: disbursement of $492,935,189 is above the expected range $0 to $446,381,647 (learned from FY2010-2019, where a typical year was $144,776,561); that is 3.5 robust sigmas from the typical year (limits sit at 3), so 0.5 beyond the $446,381,647 limit.",3.4630579341281202,
A_level,Mauritania,2024,121551434.1,38456341.260000005,0.0,111107388.129828,24217015.623276,3.4312689116050192,10,beyond_limits,medium,"Mauritania FY2024: disbursement of $121,551,434 is above the expected range $0 to $111,107,388 (learned from FY2010-2019, where a typical year was $38,456,341); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the $111,107,388 limit.",3.4312689116050192,
A_level,Rwanda,2024,506383236.8,210111077.2,0.0,469846333.8193,86578418.8731,3.422009358177966,10,beyond_limits,medium,"Rwanda FY2024: disbursement of $506,383,237 is above the expected range $0 to $469,846,334 (learned from FY2010-2019, where a typical year was $210,111,077); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the $469,846,334 limit.",3.422009358177966,
A_level,Rwanda,2021,505133231.4,210111077.2,0.0,469846333.8193,86578418.8731,3.4075715177060557,10,beyond_limits,medium,"Rwanda FY2021: disbursement of $505,133,231 is above the expected range $0 to $469,846,334 (learned from FY2010-2019, where a typical year was $210,111,077); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the $469,846,334 limit.",3.4075715177060557,
A_level,Burkina Faso,2024,527680718.6,279719640.15,60972648.32390982,498466631.97609013,72915663.94203006,3.400655840521947,10,beyond_limits,medium,"Burkina Faso FY2024: disbursement of $527,680,719 is above the expected range $60,972,648 to $498,466,632 (learned from FY2010-2019, where a typical year was $279,719,640); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the $498,466,632 limit.",3.400655840521947,
A_level,Nicaragua,2022,105310012.6,61514671.825,22859488.957510002,100169854.69249001,12885060.95583,3.3989238331995835,10,beyond_limits,medium,"Nicaragua FY2022: disbursement of $105,310,013 is above the expected range $22,859,489 to $100,169,855 (learned from FY2010-2019, where a typical year was $61,514,672); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the $100,169,855 limit.",3.3989238331995835,
A_level,Nepal,2025,519162995.9,244909555.25,1924736.7816500068,487894373.71835,80994939.48945,3.3860564916617153,10,beyond_limits,medium,"Nepal FY2025: disbursement of $519,162,996 is above the expected range $1,924,737 to $487,894,374 (learned from FY2010-2019, where a typical year was $244,909,555); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the $487,894,374 limit.",3.3860564916617153,
