financier,country,first_fy,last_fy,n_years,n_gap_years,gap_years
IDA,Thailand,2010,2012,3,0,
IDA,Thailand & Myanmar CMU,2025,2026,2,0,
IBRD,Timor-Leste,2014,2026,13,0,
IDA,Timor-Leste,2010,2026,17,0,
IDA,Togo,2010,2026,17,0,
IDA,Tonga,2010,2026,17,0,
IBRD,Tunisia,2010,2026,17,0,
IDA,Tunisia,2010,2023,14,0,
IBRD,Turkiye,2010,2026,17,0,
IDA,Turkiye,2010,2023,14,0,
IDA,Tuvalu,2012,2026,15,0,
IDA,Uganda,2010,2026,17,0,
IBRD,Ukraine,2010,2026,17,0,
IDA,Ukraine,2022,2026,5,0,
IBRD,Uruguay,2010,2026,17,0,
IBRD,Uzbekistan,2010,2026,17,0,
IDA,Uzbekistan,2010,2026,17,0,
IDA,Vanuatu,2010,2026,17,0,
IBRD,Viet Nam,2024,2026,3,0,
IDA,Viet Nam,2024,2026,3,0,
IBRD,Vietnam,2010,2023,14,0,
IDA,Vietnam,2010,2023,14,0,
IBRD,Western Africa,2010,2011,2,0,
IDA,Western Africa,2010,2021,12,0,
IDA,Western and Central Africa,2022,2026,5,0,
IBRD,World,2010,2018,9,0,
IDA,World,2017,2017,1,0,
IDA,"Yemen, Republic of",2010,2026,17,0,
IDA,Zambia,2010,2026,17,0,
